time(s),Temperature (in),Heater 1 %(in),Heater 2 %(in)
547.152,32.0,100.0,0.0
548.271,32.0,100.0,0.0

549.393,32.0,100.0,0.0
550.511,32.0,100.0,0.0
551.633,32.0,100.0,0.0
552.751,32.0,100.0,0.0
553.873,32.0,100.0,0.0
554.992,32.0,100.0,0.0
556.114,32.0,100.0,0.0
557.232,32.0,100.0,0.0

558.354,32.0,100.0,0.0
559.473,32.0,100.0,0.0
560.591,32.0,100.0,0.0
561.713,32.0,100.0,0.0
562.833,32.0,100.0,0.0
563.953,32.0,100.0,0.0
565.072,32.0,100.0,0.0
566.198,32.0,100.0,0.0
567.312,32.0,100.0,0.0

568.434,32.0,100.0,0.0
569.553,32.0,100.0,0.0
570.675,32.0,100.0,0.0
571.793,32.0,100.0,0.0
572.915,32.0,100.0,0.0
574.034,32.0,100.0,0.0
575.156,32.0,100.0,0.0
576.274,32.0,100.0,0.0

577.4,32.0,100.0,0.0
578.514,32.0,100.0,0.0
579.636,32.0,100.0,0.0
580.755,32.0,100.0,0.0
581.873,32.0,100.0,0.0
582.995,32.0,100.0,0.0
584.113,32.0,100.0,0.0
585.235,32.0,100.0,0.0
586.354,32.5,100.0,0.0

587.476,32.5,100.0,0.0
588.594,32.5,100.0,0.0
589.719,32.5,100.0,0.0
590.834,32.5,100.0,0.0
591.957,32.5,100.0,0.0
593.075,32.5,100.0,0.0
594.197,32.5,100.0,0.0
595.315,32.5,100.0,0.0

596.437,32.5,100.0,0.0
597.555,32.5,100.0,0.0
598.678,32.5,100.0,0.0
599.801,32.5,100.0,0.0
600.919,32.5,100.0,0.0
602.037,32.5,100.0,0.0
603.155,32.5,100.0,0.0
604.278,32.5,100.0,0.0
605.395,32.5,100.0,0.0

606.518,32.5,100.0,0.0
607.644,32.5,100.0,0.0
608.765,32.5,100.0,0.0
609.876,32.5,100.0,0.0
610.999,32.5,100.0,0.0
612.116,32.5,100.0,0.0
613.239,32.5,100.0,0.0
614.357,32.5,100.0,0.0

615.479,32.5,100.0,0.0
616.597,32.5,100.0,0.0
617.72,32.5,100.0,0.0
618.838,32.5,100.0,0.0
619.96,32.5,100.0,0.0
621.078,32.5,100.0,0.0
622.204,32.5,100.0,0.0
623.319,32.5,100.0,0.0

624.437,32.5,100.0,0.0
625.566,32.5,100.0,0.0
626.677,32.5,100.0,0.0
627.799,32.5,100.0,0.0
628.918,32.5,100.0,0.0
630.04,32.5,100.0,0.0
631.158,32.5,100.0,0.0
632.28,32.5,100.0,0.0
633.399,32.5,100.0,0.0

634.521,32.5,100.0,0.0
635.639,32.5,100.0,0.0
636.761,32.5,100.0,0.0
637.879,32.5,100.0,0.0
639.002,32.5,100.0,0.0
640.12,32.5,100.0,0.0
641.242,32.5,100.0,0.0
642.36,32.5,100.0,0.0

643.479,32.5,100.0,0.0
644.601,32.5,100.0,0.0
645.719,32.5,100.0,0.0
646.841,32.5,100.0,0.0
647.959,32.5,100.0,0.0
649.081,32.5,100.0,0.0
650.201,32.5,100.0,0.0
651.323,32.5,100.0,0.0
652.44,32.5,100.0,0.0

653.564,32.5,100.0,0.0
654.681,32.5,100.0,0.0
655.803,32.5,100.0,0.0
656.921,32.5,100.0,0.0
658.043,32.5,100.0,0.0
659.161,32.5,100.0,0.0
660.284,32.5,100.0,0.0
661.404,32.5,100.0,0.0

662.524,32.5,100.0,0.0
663.642,32.5,100.0,0.0
664.76,32.5,100.0,0.0
665.883,33.0,100.0,0.0
667.001,32.5,100.0,0.0
668.123,32.5,100.0,0.0
669.241,32.5,100.0,0.0
670.365,32.5,100.0,0.0

671.481,33.0,100.0,0.0
672.604,33.0,100.0,0.0
673.722,33.0,100.0,0.0
674.844,33.0,100.0,0.0
675.969,33.0,100.0,0.0
677.085,33.0,100.0,0.0
678.204,33.0,100.0,0.0
679.325,33.0,100.0,0.0
680.443,33.0,100.0,0.0

681.566,33.0,100.0,0.0
682.684,33.0,100.0,0.0
683.806,33.0,100.0,0.0
684.924,33.0,100.0,0.0
686.042,33.0,100.0,0.0
687.165,33.0,100.0,0.0
688.283,33.0,100.0,0.0
689.405,33.0,100.0,0.0

690.523,33.0,100.0,0.0
691.646,33.0,100.0,0.0
692.764,33.0,100.0,0.0
693.886,33.0,100.0,0.0
695.004,33.0,100.0,0.0
696.126,33.0,100.0,0.0
697.245,33.0,100.0,0.0
698.373,33.0,100.0,0.0
699.485,33.0,100.0,0.0

700.607,33.0,100.0,0.0
701.725,33.0,100.0,0.0
702.848,33.0,100.0,0.0
703.966,33.0,100.0,0.0
705.088,33.0,100.0,0.0
706.206,33.0,100.0,0.0
707.325,33.0,100.0,0.0
708.447,33.0,100.0,0.0

709.566,33.0,100.0,0.0
710.687,33.0,100.0,0.0
711.805,33.0,100.0,0.0
712.928,33.0,100.0,0.0
714.046,33.0,100.0,0.0
715.171,33.0,100.0,0.0
716.286,33.0,100.0,0.0
717.408,33.0,100.0,0.0

718.527,33.0,100.0,0.0
719.649,33.0,100.0,0.0
720.767,33.0,100.0,0.0
721.889,33.0,100.0,0.0
723.008,33.0,100.0,0.0
724.132,33.0,100.0,0.0
725.252,33.0,100.0,0.0
726.37,33.0,100.0,0.0
727.488,33.0,100.0,0.0

728.606,33.0,100.0,0.0
729.731,33.0,100.0,0.0
730.847,33.0,100.0,0.0
731.969,33.0,100.0,0.0
733.087,33.0,100.0,0.0
734.21,33.0,100.0,0.0
735.331,33.0,100.0,0.0
736.45,33.0,100.0,0.0

737.568,33.0,100.0,0.0
738.692,33.0,100.0,0.0
739.809,33.0,100.0,0.0
740.931,33.0,100.0,0.0
742.049,33.0,100.0,0.0
743.171,33.0,100.0,0.0
744.293,33.0,100.0,0.0
745.412,33.0,100.0,0.0
746.53,33.0,100.0,0.0

747.648,33.0,100.0,0.0
748.77,33.0,100.0,0.0
749.894,33.0,100.0,0.0
751.011,33.0,100.0,0.0
752.131,33.0,100.0,0.0
753.252,33.5,100.0,0.0
754.369,33.5,100.0,0.0
755.492,33.5,100.0,0.0

756.61,33.5,100.0,0.0
757.732,33.5,100.0,0.0
758.85,33.5,100.0,0.0
759.973,33.5,100.0,0.0
761.092,33.5,100.0,0.0
762.213,33.5,100.0,0.0
763.331,33.5,100.0,0.0
764.453,33.5,100.0,0.0
765.572,33.5,100.0,0.0

766.694,33.5,100.0,0.0
767.812,33.5,100.0,0.0
768.934,33.5,100.0,0.0
770.052,33.5,100.0,0.0
771.17,33.5,100.0,0.0
772.293,33.5,100.0,0.0
773.411,33.5,100.0,0.0
774.533,33.5,100.0,0.0

775.651,33.5,100.0,0.0
776.773,33.5,100.0,0.0
777.892,33.5,100.0,0.0
779.014,33.5,100.0,0.0
780.132,33.5,100.0,0.0
781.255,33.5,100.0,0.0
782.373,33.5,100.0,0.0
783.495,33.5,100.0,0.0

784.613,33.5,100.0,0.0
785.736,33.5,100.0,0.0
786.854,33.5,100.0,0.0
787.976,33.5,100.0,0.0
789.1,33.5,100.0,0.0
790.216,33.5,100.0,0.0
791.334,33.5,100.0,0.0
792.452,33.5,100.0,0.0
793.575,33.5,100.0,0.0

794.693,33.5,100.0,0.0
795.815,33.5,100.0,0.0
796.933,33.5,100.0,0.0
798.068,33.5,100.0,0.0
